scenario_id,tier,cell,validation,governance,latency_ms,tokens,correct,confidence,rubric_composite,n_detected,n_injected,validator_iterations,audit_intact,measured_latency_ms,measured_governance_ms,measured_worker_ms,measured_validator_ms,measured_policy_ms,measured_audit_ms,measured_redaction_ms,measured_queue_ms,n_true_positive,n_false_positive,n_claims,governed_events,anchored_workers,peer_bias_exposure,entities_redacted
M-037,medium,Baseline,0,0,446.393,953,1,0.5,0.625,0,2,0,1,0.911104,0.0,0.911104,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-038,medium,Baseline,0,0,652.579,1168,1,0.5,0.625,0,2,0,1,0.632717,0.0,0.632717,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-039,medium,Baseline,0,0,669.042,1135,1,0.5,0.6438,0,2,0,1,0.668301,0.0,0.668301,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-040,medium,Baseline,0,0,603.742,1048,1,0.5,0.6063,0,2,0,1,0.985075,0.0,0.985075,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-041,medium,Baseline,0,0,470.189,999,0,0.5,0.1562,0,2,0,1,0.64192,0.0,0.64192,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-042,medium,Baseline,0,0,665.59,1157,1,0.5,0.6438,0,2,0,1,1.587726,0.0,1.587726,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-043,medium,Baseline,0,0,668.169,1110,1,0.5,0.625,0,2,0,1,2.006623,0.0,2.006623,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-044,medium,Baseline,0,0,563.864,1060,0,0.5,0.175,0,2,0,1,0.906768,0.0,0.906768,0.0,0.0,0.0,0.0,0.0,0,0,8,0,2,14,0
H-000,high,Baseline,0,0,573.224,1121,0,0.5,0.1955,0,3,0,1,0.784574,0.0,0.784574,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-001,high,Baseline,0,0,638.96,1276,0,0.5,0.1818,0,3,0,1,0.921338,0.0,0.921338,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-002,high,Baseline,0,0,647.24,1190,0,0.5,0.1818,0,3,0,1,1.603268,0.0,1.603268,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-003,high,Baseline,0,0,480.56,1013,0,0.5,0.1273,0,3,0,1,0.651325,0.0,0.651325,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-004,high,Baseline,0,0,545.515,1223,0,0.5,0.1955,0,3,0,1,0.599487,0.0,0.599487,0.0,0.0,0.0,0.0,0.0,0,0,11,0,2,19,0
H-005,high,Baseline,0,0,615.935,1171,0,0.5,0.1818,0,3,0,1,0.772005,0.0,0.772005,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-006,high,Baseline,0,0,569.974,995,0,0.5,0.1273,0,3,0,1,0.709612,0.0,0.709612,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-007,high,Baseline,0,0,731.284,1238,0,0.5,0.1818,0,3,0,1,1.280466,0.0,1.280466,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-008,high,Baseline,0,0,476.329,1058,0,0.5,0.1955,0,3,0,1,0.919757,0.0,0.919757,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-009,high,Baseline,0,0,592.828,1208,0,0.5,0.1409,0,3,0,1,1.084623,0.0,1.084623,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-010,high,Baseline,0,0,484.848,1006,0,0.5,0.1545,0,3,0,1,0.813017,0.0,0.813017,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-011,high,Baseline,0,0,472.752,1014,0,0.5,0.1818,0,3,0,1,0.64815,0.0,0.64815,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-012,high,Baseline,0,0,574.259,1133,0,0.5,0.1545,0,3,0,1,1.191894,0.0,1.191894,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-013,high,Baseline,0,0,607.162,1192,0,0.5,0.1818,0,3,0,1,0.999957,0.0,0.999957,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-014,high,Baseline,0,0,665.129,1175,0,0.5,0.1682,0,3,0,1,1.057943,0.0,1.057943,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-015,high,Baseline,0,0,343.213,912,0,0.5,0.1545,0,3,0,1,1.019185,0.0,1.019185,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-016,high,Baseline,0,0,498.841,1001,0,0.5,0.1545,0,3,0,1,0.851334,0.0,0.851334,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-017,high,Baseline,0,0,683.604,1241,0,0.5,0.1682,0,3,0,1,0.849501,0.0,0.849501,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-018,high,Baseline,0,0,703.728,1347,0,0.5,0.1682,0,3,0,1,0.807409,0.0,0.807409,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-019,high,Baseline,0,0,507.195,1072,0,0.5,0.1545,0,3,0,1,0.882921,0.0,0.882921,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-020,high,Baseline,0,0,572.418,975,0,0.5,0.1545,0,3,0,1,1.142459,0.0,1.142459,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-021,high,Baseline,0,0,584.568,1268,0,0.5,0.1545,0,3,0,1,0.754158,0.0,0.754158,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-022,high,Baseline,0,0,694.89,1103,0,0.5,0.1682,0,3,0,1,1.164923,0.0,1.164923,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-023,high,Baseline,0,0,555.408,985,0,0.5,0.1818,0,3,0,1,1.392093,0.0,1.392093,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-024,high,Baseline,0,0,667.181,1286,0,0.5,0.2091,0,3,0,1,2.0106,0.0,2.0106,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-025,high,Baseline,0,0,502.481,1010,0,0.5,0.1955,0,3,0,1,1.315679,0.0,1.315679,0.0,0.0,0.0,0.0,0.0,0,0,11,0,2,19,0
H-026,high,Baseline,0,0,577.579,1073,0,0.5,0.1545,0,3,0,1,1.064013,0.0,1.064013,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-027,high,Baseline,0,0,612.979,1117,0,0.5,0.2091,0,3,0,1,1.271452,0.0,1.271452,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-028,high,Baseline,0,0,601.862,1133,0,0.5,0.1955,0,3,0,1,2.495274,0.0,2.495274,0.0,0.0,0.0,0.0,0.0,0,0,11,0,2,19,0
H-029,high,Baseline,0,0,649.422,1167,0,0.5,0.1545,0,3,0,1,1.551111,0.0,1.551111,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-030,high,Baseline,0,0,454.568,1108,0,0.5,0.1818,0,3,0,1,0.930472,0.0,0.930472,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-031,high,Baseline,0,0,453.362,1074,0,0.5,0.1955,0,3,0,1,26.316679,0.0,26.316679,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-032,high,Baseline,0,0,627.377,1099,0,0.5,0.1682,0,3,0,1,2.097219,0.0,2.097219,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-033,high,Baseline,0,0,584.417,1209,0,0.5,0.1818,0,3,0,1,1.846062,0.0,1.846062,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-034,high,Baseline,0,0,671.517,1159,0,0.5,0.1955,0,3,0,1,3.598604,0.0,3.598604,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-035,high,Baseline,0,0,576.238,1105,0,0.5,0.1409,0,3,0,1,1.058394,0.0,1.058394,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-036,high,Baseline,0,0,621.027,1146,0,0.5,0.1682,0,3,0,1,1.312965,0.0,1.312965,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-037,high,Baseline,0,0,582.131,1124,0,0.5,0.1545,0,3,0,1,1.4508,0.0,1.4508,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-038,high,Baseline,0,0,720.727,1269,0,0.5,0.1818,0,3,0,1,0.8148,0.0,0.8148,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-039,high,Baseline,0,0,653.573,1117,0,0.5,0.1818,0,3,0,1,0.715229,0.0,0.715229,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,19,0
H-040,high,Baseline,0,0,608.782,1257,0,0.5,0.1682,0,3,0,1,0.796722,0.0,0.796722,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-041,high,Baseline,0,0,481.856,1155,0,0.5,0.1545,0,3,0,1,1.200516,0.0,1.200516,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-042,high,Baseline,0,0,659.95,1292,0,0.5,0.1682,0,3,0,1,1.16257,0.0,1.16257,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
H-043,high,Baseline,0,0,521.284,1094,0,0.5,0.1409,0,3,0,1,0.789722,0.0,0.789722,0.0,0.0,0.0,0.0,0.0,0,0,11,0,2,19,0
H-044,high,Baseline,0,0,590.89,1237,0,0.5,0.1409,0,3,0,1,0.770983,0.0,0.770983,0.0,0.0,0.0,0.0,0.0,0,0,11,0,1,19,0
L-000,low,V-only,1,0,2476.004,1893,1,0.5249,0.91,1,1,4,1,2.584267,0.0,2.302226,0.282041,0.0,0.0,0.0,0.0,1,0,5,0,0,9,0
L-001,low,V-only,1,0,2478.556,1909,0,0.6631,0.46,1,1,4,1,1.405733,0.0,1.118563,0.28717,0.0,0.0,0.0,0.0,1,0,5,0,0,9,0
L-002,low,V-only,1,0,2870.576,1893,0,0.6289,0.16,0,1,4,1,1.721256,0.0,1.47775,0.243506,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-003,low,V-only,1,0,2579.039,1709,0,0.5222,0.19,0,1,4,1,1.43489,0.0,1.200677,0.234213,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-004,low,V-only,1,0,2436.023,1681,0,0.6603,0.19,0,1,4,1,1.350082,0.0,1.175679,0.174403,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-005,low,V-only,1,0,2784.094,1925,1,0.7118,0.88,1,1,4,1,2.026202,0.0,1.834836,0.191366,0.0,0.0,0.0,0.0,1,0,5,0,0,9,0
L-006,low,V-only,1,0,2723.652,1925,1,0.5,0.91,1,1,4,1,3.353899,0.0,3.150774,0.203125,0.0,0.0,0.0,0.0,1,0,5,0,1,9,0
L-007,low,V-only,1,0,2758.941,1867,0,0.6276,0.52,1,1,4,1,1.660835,0.0,1.492103,0.168732,0.0,0.0,0.0,0.0,1,0,5,0,0,9,0
L-008,low,V-only,1,0,2286.486,1722,0,0.7327,0.16,0,1,4,1,2.554021,0.0,2.053984,0.500037,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-009,low,V-only,1,0,3009.732,2060,1,0.5,0.94,1,1,4,1,2.181863,0.0,1.992702,0.189161,0.0,0.0,0.0,0.0,1,0,5,0,0,9,0
L-010,low,V-only,1,0,2802.179,1953,0,0.6727,0.19,0,1,4,1,1.44928,0.0,1.276308,0.172972,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
